Contrat;Date et heure;Puissance réelle (kW);Code de puissance réelle;90 % de la puissance apparente (kVA);Code de puissance apparente
0300164754;2025-10-12 23:45:00;63,4;R;74,9;R
0300164754;2025-10-12 23:30:00;56,5;R;63,9;R
0300164754;2025-10-12 23:15:00;66,6;R;76,9;R
0300164754;2025-10-12 23:00:00;64,6;R;74,9;R
0300164754;2025-10-12 22:45:00;64,7;R;76,7;R
0300164754;2025-10-12 22:30:00;64,8;R;77,0;R
0300164754;2025-10-12 22:15:00;56,6;R;65,7;R
0300164754;2025-10-12 22:00:00;58,5;R;67,8;R
0300164754;2025-10-12 21:45:00;62,3;R;72,8;R
0300164754;2025-10-12 21:30:00;63,1;R;74,0;R
0300164754;2025-10-12 21:15:00;65,2;R;76,0;R
0300164754;2025-10-12 21:00:00;65,0;R;75,9;R
0300164754;2025-10-12 20:45:00;50,9;R;57,1;R
0300164754;2025-10-12 20:30:00;68,6;R;77,6;R
0300164754;2025-10-12 20:15:00;75,1;R;82,7;R
0300164754;2025-10-12 20:00:00;80,5;R;87,2;R
0300164754;2025-10-12 19:45:00;82,8;R;88,5;R
0300164754;2025-10-12 19:30:00;82,5;R;89,5;R
0300164754;2025-10-12 19:15:00;81,3;R;88,9;R
0300164754;2025-10-12 19:00:00;75,3;R;80,6;R
0300164754;2025-10-12 18:45:00;84,4;R;88,3;R
0300164754;2025-10-12 18:30:00;87,7;R;91,9;R
0300164754;2025-10-12 18:15:00;84,8;R;90,0;R
0300164754;2025-10-12 18:00:00;84,8;R;91,4;R
0300164754;2025-10-12 17:45:00;85,7;R;92,1;R
0300164754;2025-10-12 17:30:00;86,4;R;92,4;R
0300164754;2025-10-12 17:15:00;85,3;R;91,0;R
0300164754;2025-10-12 17:00:00;82,4;R;88,1;R
0300164754;2025-10-12 16:45:00;83,3;R;88,9;R
0300164754;2025-10-12 16:30:00;82,3;R;88,3;R
0300164754;2025-10-12 16:15:00;83,9;R;90,3;R
0300164754;2025-10-12 16:00:00;84,6;R;91,1;R
0300164754;2025-10-12 15:45:00;86,0;R;94,4;R
0300164754;2025-10-12 15:30:00;96,9;R;108,2;R
0300164754;2025-10-12 15:15:00;88,6;R;98,7;R
0300164754;2025-10-12 15:00:00;81,3;R;87,6;R
0300164754;2025-10-12 14:45:00;81,5;R;89,4;R
0300164754;2025-10-12 14:30:00;94,3;R;106,4;R
0300164754;2025-10-12 14:15:00;89,7;R;99,8;R
0300164754;2025-10-12 14:00:00;89,8;R;96,5;R
0300164754;2025-10-12 13:45:00;94,8;R;101,6;R
0300164754;2025-10-12 13:30:00;104,7;R;114,8;R
0300164754;2025-10-12 13:15:00;97,7;R;107,9;R
0300164754;2025-10-12 13:00:00;82,1;R;89,1;R
0300164754;2025-10-12 12:45:00;89,4;R;95,2;R
0300164754;2025-10-12 12:30:00;86,7;R;93,8;R
0300164754;2025-10-12 12:15:00;102,0;R;113,5;R
